Mask No,PRODUCT_NAME,LEASE_TENOR_INCLUDING_HP_cluster,VEHICLE_AGE,YOM,LEASE_TENOR_INCLUDING_HP,TOTAL INCOME_NUM,TOTAL INCOME,CUSTOMER AGE,Exp,Sub_purpose_code_based_on_risk,CRIB_SCORE,Percentage_of_Total_Current_Balance_to_Total_Amount_Granted_Limit_slabs,Percentage_of_Total_Arrears_Amount_to_Total_Amount_Granted_Limit_slabs,Percentage_of_Total_Installments_to_Total_Current_Balance_slabs,Cluster
1128,Three Wheeler-Lease-Registered,48-60,14,2010,49,60000,60000-80000,59,0.373253517,Low_risk_sub_purpose_code,20-40,between 50 - 100 percentage,between 5 - 10 percentage,between 5- 10 percentage,Red
1129,Three Wheeler-Lease-Registered,48-60,15,2009,49,60000,60000-80000,26,0.623570219,Low_risk_sub_purpose_code,0-20,between 150 - 200 percentage,between 5 - 10 percentage,between 2- 5 percentage,Red
1130,Three Wheeler-Lease-Registered,36-48,10,2014,37,60000,60000-80000,19,0.484138728,Low_risk_sub_purpose_code,Missing,between 100 - 150 percentage,less than 1 percentage,between 2- 5 percentage,Green
1131,Three Wheeler-Lease-Registered,36-48,15,2009,37,50000,40000-60000,20,0.563396633,Low_risk_sub_purpose_code,Missing,less than 50 percentage,less than 1 percentage,Missing,Red
1132,CASH IN HAND,24-36,10,2014,25,80000,80000-100000,55,0.319070514,Low_risk_sub_purpose_code,0-20,Missing,Missing,Missing,Green
1133,Three Wheeler-Lease-Registered,48-60,13,2011,49,70000,60000-80000,55,0.587820085,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Green
1134,Three Wheeler-Lease-Registered,48-60,14,2010,49,100000,100000-120000,30,0.468639269,Low_risk_sub_purpose_code,Above 80,between 50 - 100 percentage,between 1 - 5 percentage,between 2- 5 percentage,Green
1135,Three Wheeler-Lease-Registered,24-36,13,2011,31,100000,100000-120000,19,0.630314003,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Green
1136,Three Wheeler-Lease-Registered,48-60,15,2009,49,80000,80000-100000,21,0.633423331,Low_risk_sub_purpose_code,Missing,between 150 - 200 percentage,between 5 - 10 percentage,between 2- 5 percentage,Red
1137,Three Wheeler-Lease-Registered,36-48,13,2011,37,100000,100000-120000,26,0.650698492,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Red
1138,CASH IN HAND,36-48,14,2010,37,100000,100000-120000,30,0.495730978,Low_risk_sub_purpose_code,0-20,Missing,Missing,Missing,Green
1139,Three Wheeler-Lease-Registered,60+,13,2011,61,100000,100000-120000,37,0.616040201,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Green
1140,Three Wheeler-Lease-Registered,36-48,19,2005,37,100000,100000-120000,49,0.595632031,Low_risk_sub_purpose_code,20-40,less than 50 percentage,less than 1 percentage,above 10 percentage,Green
